text	deletionPower	onlyAtTheBeginning	caseSensitivity	comment	applyOnTokens
have permission to access	0.8	0	0		0
unsubscribe now	0.3	0	0		0
Subscribe to read more	1.0	1	0		0
Save Article	1.0	1	0		0
Sign In	1.0	1	0		0
Subscribe to	1.0	1	0		0
Copy Link	0.8	0	0		0
Link copied	0.8	0	0		0
Copyright All Rights Reserved	0.5	0	0	These tokens not necesserly attached	0
Login with	1.0	1	0		0
Get Started	1.0	1	1		0
Description	0.5	1	0		0
Advertisement	0.6	1	0		0
Publish Your Article	0.8	1	0		0
Written by	1.0	1	0	To eliminate author	0
Related content	0.8	1	0		0
This site has been	0.6	1	0		0
This site has been archived or suspended for a violation of our Terms of Service	1.0	0	0		0
For more information	0.3	1	0		0
please read this support document	0.2	0	0		0
For more information and to contact us please read this support document	1.0	1	0		0
Related News	0.6	1	0		0
Data Source	0.4	0	0		0
By using this site	0.8	1	0		0
By using this site you agree to the Terms of Use and Grievance Redressal Policy and Privacy Policy	1.0	1	0		0
This page was last modified	0.6	1	0		0
404 not found	0.6	0	0		0
Please register to	0.6	1	0		0
Attached Images	0.6	1	0		0
Source :	1.0	1	1		0
( CNN )	1.0	0	1	To eliminate author	1
Read More	0.5	1	0		0
, CNN	0.4	0	0		0
Return to Transcripts main page	1.0	0	0		0
This page is continually updated as new transcripts become available	1.0	0	0		0
Go to permalink	1.0	1	0		0
Photo : Getty Images	1.0	1	0		0
You are commenting using your	0.5	1	0		0
By	0.2	1	0		0
Published	0.4	1	0		0
Updated	0.2	1	0		0
Related Coverage	0.6	1	0		0
Print Article	0.8	1	0		0
Contact	0.4	1	0		0
Investigations	0.2	1	0		0
Related	0.5	1	0		0
Join Date :	0.6	1	0		0
Posts :	0.6	1	0		0
Mail ( will not be published )	0.6	1	0		0
